epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.64348,2.30695,4.91193,1.60325,0.66191,0.04286,0.03231,0.01186,1.90225,4.27454,1.51562,7.777e-05,7.777e-05,7.777e-05
2,11.0921,2.03233,2.89949,1.46164,0.66046,0.46852,0.51764,0.24506,1.58247,3.46791,1.35305,0.000160051,0.000160051,0.000160051
3,13.3912,1.81341,1.76581,1.24304,0.47281,0.65036,0.61148,0.28122,1.54862,2.77011,1.31353,0.000235292,0.000235292,0.000235292
4,15.6618,1.71896,1.5034,1.20039,0.61362,0.59479,0.62248,0.32353,1.47785,2.01038,1.26932,0.000303494,0.000303494,0.000303494
5,18.138,1.64293,1.31128,1.18179,0.67989,0.70925,0.66444,0.39391,1.43883,1.57413,1.24121,0.000364657,0.000364657,0.000364657
6,21.3965,1.63099,1.22623,1.17515,0.63606,0.73282,0.68416,0.37457,1.48665,1.69564,1.24585,0.00041878,0.00041878,0.00041878
7,24.1554,1.59819,1.16451,1.143,0.58742,0.6648,0.66407,0.3599,1.49208,1.83272,1.24356,0.000465865,0.000465865,0.000465865
8,26.533,1.57454,1.15795,1.14131,0.53455,0.67195,0.6589,0.39444,1.40311,1.48456,1.20808,0.000505909,0.000505909,0.000505909
9,28.3273,1.51456,1.08369,1.11373,0.80792,0.68787,0.74036,0.47245,1.34916,1.61862,1.18989,0.000538915,0.000538915,0.000538915
10,30.3096,1.49898,1.0263,1.10124,0.82445,0.68267,0.74009,0.45447,1.36265,1.33096,1.22355,0.000564881,0.000564881,0.000564881
11,32.2153,1.52359,1.00291,1.08711,0.66719,0.65276,0.71979,0.39927,1.40283,1.58945,1.26152,0.000583808,0.000583808,0.000583808
12,33.9226,1.45661,0.9615,1.09994,0.66578,0.71363,0.72846,0.42267,1.37816,1.29769,1.23024,0.000595696,0.000595696,0.000595696
13,36.9855,1.4218,0.95982,1.11835,0.83594,0.70951,0.77827,0.47437,1.40923,1.22129,1.22494,0.000583053,0.000583053,0.000583053
14,39.8954,1.4307,0.9232,1.07002,0.81632,0.77937,0.81056,0.48576,1.47555,1.19365,1.24628,0.000539057,0.000539057,0.000539057
15,42.9938,1.41733,0.90261,1.093,0.68232,0.81212,0.77668,0.47408,1.43195,1.17603,1.21239,0.000495062,0.000495062,0.000495062
16,45.8415,1.37541,0.95115,1.05495,0.72132,0.78797,0.76846,0.45364,1.43666,1.11371,1.2158,0.000451066,0.000451066,0.000451066
17,48.1015,1.36695,0.84557,1.03498,0.72428,0.79069,0.78873,0.48816,1.38424,1.11729,1.19777,0.00040707,0.00040707,0.00040707
18,50.1352,1.34833,0.83077,1.03717,0.79666,0.79109,0.82164,0.51764,1.38453,1.07623,1.20563,0.000363075,0.000363075,0.000363075
19,52.9812,1.34506,0.82296,1.04225,0.87219,0.77458,0.83751,0.53418,1.35974,1.00994,1.19749,0.000319079,0.000319079,0.000319079
20,56.0491,1.30235,0.7554,1.00834,0.82658,0.77648,0.84367,0.52687,1.38652,1.01795,1.19691,0.000275084,0.000275084,0.000275084
21,58.5354,1.28672,0.76498,1.01424,0.86481,0.78052,0.86228,0.52841,1.40397,0.99916,1.20458,0.000231088,0.000231088,0.000231088
22,60.5436,1.27142,0.74226,1.00652,0.80284,0.8058,0.83471,0.53092,1.39341,0.99305,1.21114,0.000187092,0.000187092,0.000187092
23,62.321,1.25766,0.73524,1.00721,0.82728,0.82784,0.86593,0.54813,1.37636,0.93969,1.19405,0.000143097,0.000143097,0.000143097
24,64.5847,1.23044,0.72534,1.00587,0.87708,0.82699,0.88485,0.56297,1.36178,0.91441,1.19017,9.91012e-05,9.91012e-05,9.91012e-05
25,66.5646,1.24141,0.69362,0.98988,0.89958,0.83387,0.88704,0.56858,1.34967,0.918,1.17994,5.51056e-05,5.51056e-05,5.51056e-05
